Chinese hamster CriGri gene name	Chinese hamster CHOK1GS gene name	Gene name
		mt-Tp
		mt-Tt
CYTB	CYTB	mt-Cytb
		mt-Te
ND6	ND6	mt-Nd6
ND5	ND5	mt-Nd5
ND5		mt-Nd5
		mt-Tl2
		mt-Ts2
		mt-Th
ND4	ND4	mt-Nd4
ND4L	ND4L	mt-Nd4l
		mt-Tr
ND3	ND3	mt-Nd3
		mt-Tg
COX3	COX3	mt-Co3
ATP6	ATP6	mt-Atp6
ATP8	ATP8	mt-Atp8
		mt-Tk
COX2	COX2	mt-Co2
		mt-Td
		mt-Ts1
COX1	COX1	mt-Co1
		mt-Ty
		mt-Tc
		mt-Tn
		mt-Ta
		mt-Tw
ND2	ND2	mt-Nd2
mt-Tm		mt-Tm
		mt-Tq
		mt-Ti
ND1	ND1	mt-Nd1
		mt-Tl1
		mt-Rnr2
		mt-Tv
		mt-Rnr1
		mt-Tf
		Gm25109
		Mir6405
		Gm24539
		Mir6351
		Gm26111
		Mir7659
		Gm26407
		Gm23126
		Mir207
		Snord116l10
		Gm23768
		Mir875
		5730596B20Rik
		Gm23253
		Gm25547
		Gm24308
		Gm24290
		Mir342
		Mocos
		Gm22587
		Mir137
		Mir32
		Mir6970
	RF01874	Gm27357
		Gm26464
		Gm23816
		Gm25482
		Gm27401
		Gm26145
		Mir1981
		Gm23259
		Mir449c
		Gm22804
		Gm26274
		Gm26295
		Mir1897
		Gm24625
		Gm23148
		Gm23665
		Gm22694
		Gm27907
		Gm23343
		Gm25880
		Gm25821
		Mir141
		Vapa
RF00105	RF00105	Gm25823
		Gm23007
	Ndc80	Ndc80
		Gm23028
		Gm25910
		Mir292
		Mir6236
Taf4b	Taf4b	Taf4b
		Gm22261
		Mir204
		Gm25285
		Gm24249
		Gm24845
RF00105	RF00105	Gm26283
		Snora36b
		Gm27989
RF01876	RF01876	Gm27882
		Gm22563
		Gm22623
		Mir200a
		Gm24546
		Mir6926
		Mir28a
		Gm27847
		Mir471
		Gm26246
		Gm22932
RF02137	RF02137	Gm28032
		CR524822.1
RF01880	RF01880	Gm27520
		Gm26179
		Gm25433
		Gm24997
		Mir6907
		Gm24643
		Mir7670
		Gm24190
		Gm26480
RF00012	RF00012	Rnu3b1
		Gm24394
		Gm23924
		Gm22672
		Gm23136
		Mir6398
		Gm24978
		Gm22305
		Mir101a
		Gm27884
		Mir1947
		Mir425
		Tcp10c
		Gm22846
		Gm25270
		Gm23508
		Gm22567
		Gm27341
		Gm22542
		Gm23677
		n-R5s149
		Gm25731
		Gm22414
		Gm26377
		Gm22368
		Gm23100
		Gm26362
	Syt4	Syt4
		Mir7016
		Gm23588
		Mir29a
		Gm25012
		Gm25151
		Tagap1
		Gm22072
		Gm22396
		Gm22595
		Gm24442
		Gm24170
RF01200	RF01200	Gm24958
